pair_id,pair_index,drugbank_id,uniprot_id,affinity_pred_value,affinity_probability_binary,affinity_pred_value1,affinity_probability_binary1,affinity_pred_value2,affinity_probability_binary2,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde
0_O75469_DB00014,0,DB00014,O75469,-0.8177963495254517,0.4907134175300598,-0.3704012632369995,0.42329201102256775,-1.2651914358139038,0.5581347942352295,0.8003806471824646,0.7290995717048645,0.8759785890579224,0.8759785890579224,0.0,0.7814810872077942,0.6078197956085205,1.1328126192092896,2.618525743484497
1_O75469_DB00035,1,DB00035,O75469,0.033630430698394775,0.40273046493530273,1.1290504932403564,0.35731223225593567,-1.061789631843567,0.4481486678123474,0.6888214945793152,0.6729345917701721,0.5712169408798218,0.5712169408798218,0.0,0.7182226181030273,0.36226847767829895,1.7428650856018066,8.268508911132812
2_O75469_DB00175,2,DB00175,O75469,0.998683750629425,0.2493610829114914,1.3091697692871094,0.2610723674297333,0.6881977319717407,0.2376497983932495,0.8337917327880859,0.7292695641517639,0.9221384525299072,0.9221384525299072,0.0,0.8117051124572754,0.7792985439300537,0.9716711044311523,1.2624551057815552
3_O75469_DB00178,3,DB00178,O75469,0.6842952966690063,0.1075739860534668,0.8453904986381531,0.09230049699544907,0.5232001543045044,0.12284746766090393,0.8415566682815552,0.8083398342132568,0.921787679195404,0.921787679195404,0.0,0.8214988708496094,0.82254558801651,0.8772329688072205,1.2479296922683716
4_O75469_DB00181,4,DB00181,O75469,1.6384187936782837,0.14883466064929962,1.172363519668579,0.1565674990415573,2.1044740676879883,0.14110182225704193,0.8377456068992615,0.7589238286018372,0.8639622926712036,0.8639622926712036,0.0,0.83119136095047,0.8506931662559509,1.0856808423995972,3.0205602645874023
5_O75469_DB00183,5,DB00183,O75469,0.6662334203720093,0.20227672159671783,1.0281187295913696,0.12275058776140213,0.3043481707572937,0.28180286288261414,0.83451908826828,0.7304218411445618,0.939221203327179,0.939221203327179,0.0,0.8083435893058777,0.7325239181518555,0.9804942011833191,1.2558304071426392
6_O75469_DB00184,6,DB00184,O75469,1.4887852668762207,0.10741126537322998,0.9937347173690796,0.07653059810400009,1.9838358163833618,0.13829194009304047,0.853693425655365,0.7969028949737549,0.939957320690155,0.939957320690155,0.0,0.8321274518966675,0.8467005491256714,0.8715201020240784,1.325500249862671
7_O95154_DB00014,7,DB00014,O95154,-0.12858331203460693,0.3909153342247009,0.5808976888656616,0.25291040539741516,-0.8380643129348755,0.5289202928543091,0.911115288734436,0.9399945139884949,0.8749802112579346,0.8749802112579346,0.0,0.9201490879058838,0.8407028913497925,0.6128695011138916,1.5864684581756592
8_O95154_DB00035,8,DB00035,O95154,-0.6456850171089172,0.276498943567276,0.16160759329795837,0.19838358461856842,-1.4529776573181152,0.3546142876148224,0.9043545126914978,0.9386476874351501,0.8727850914001465,0.8727850914001465,0.0,0.912246823310852,0.799323558807373,0.6353959441184998,1.5932743549346924
9_O95154_DB00175,9,DB00175,O95154,0.5629023909568787,0.599056601524353,0.9198054075241089,0.6897971630096436,0.20599937438964844,0.5083160996437073,0.933559238910675,0.9522060751914978,0.867037296295166,0.867037296295166,0.0,0.9501896500587463,0.8849300146102905,0.450566828250885,1.340879201889038
10_O95154_DB00178,10,DB00178,O95154,0.6162047982215881,0.25424158573150635,0.46536603569984436,0.19001495838165283,0.7670435905456543,0.31846824288368225,0.9452804923057556,0.961868941783905,0.9249732494354248,0.9249732494354248,0.0,0.95035719871521,0.8970043659210205,0.3901621997356415,0.8906785249710083
11_O95154_DB00181,11,DB00181,O95154,1.997223138809204,0.42049771547317505,1.8391923904418945,0.40636491775512695,2.1552538871765137,0.43463048338890076,0.953246533870697,0.9629313349723816,0.949207603931427,0.949207603931427,0.0,0.9542561769485474,0.9334372878074646,0.35796329379081726,0.8102825880050659
12_O95154_DB00183,12,DB00183,O95154,-0.261444628238678,0.36494889855384827,-0.886624813079834,0.33495035767555237,0.3637355864048004,0.39494743943214417,0.9246560335159302,0.950986385345459,0.8886761665344238,0.8886761665344238,0.0,0.9336509704589844,0.8492319583892822,0.5330297350883484,1.2738714218139648
13_O95154_DB00184,13,DB00184,O95154,1.4390368461608887,0.29520660638809204,1.7291158437728882,0.3414120674133301,1.1489578485488892,0.2490011304616928,0.9213941693305969,0.9478927850723267,0.8394538164138794,0.8394538164138794,0.0,0.9418792128562927,0.8802176117897034,0.4476339817047119,2.1559488773345947
